client_code;installment;first_amount_spent;number_of_products;Y;center;age51_89;age36_50;dim_big;dim_medium;age15_35;sex;north;south_and_islands;dim_small
73086568;1;410000;3;1;1;1;0;0;1;0;1;0;0;0
73225290;1;1090000;3;1;1;0;1;0;1;0;1;0;0;0
73354511;1;250000;2;1;1;0;0;0;1;1;1;0;0;0
73714003;0;290000;1;1;0;0;1;1;0;0;1;1;0;0
73764140;0;350000;2;1;0;0;1;1;0;0;1;1;0;0
73904929;0;340000;2;1;0;0;1;0;1;0;1;0;1;0
73908053;0;410000;2;1;0;0;0;0;1;1;1;0;1;0
73916749;0;350000;2;1;0;0;0;0;0;1;1;1;0;1
74078615;0;290000;1;1;0;1;0;0;0;0;1;1;0;1
74462954;1;290000;1;1;0;0;0;1;0;1;1;0;1;0
74616684;0;410000;2;1;1;1;0;0;1;0;1;0;0;0
74753835;0;290000;1;1;0;1;0;0;1;0;1;1;0;0
74922009;0;440000;2;1;0;0;1;0;0;0;1;0;1;1
75002493;0;290000;1;1;0;0;0;0;1;1;1;0;1;0
75005859;1;340000;1;1;0;0;0;0;0;1;0;1;0;1
75161281;0;290000;3;0;1;0;1;0;1;0;0;0;0;0
75213796;0;290000;1;1;0;0;1;0;0;0;1;1;0;1
75280086;0;290000;1;1;0;0;0;1;0;1;1;1;0;0
75398125;0;350000;2;1;0;0;1;0;1;0;1;1;0;0
75505177;1;290000;1;1;0;0;1;0;0;0;1;1;0;1
76170004;0;290000;1;1;0;0;0;0;1;1;1;1;0;0
76351378;0;290000;1;1;0;0;1;0;1;0;1;1;0;0
76412539;0;350000;2;1;0;0;0;0;1;1;1;1;0;0
76525384;0;290000;1;1;0;0;1;0;1;0;0;0;1;0
76611221;1;790000;1;1;1;0;1;0;1;0;0;0;0;0
76638359;0;290000;1;1;0;0;1;0;1;0;1;1;0;0
7705721E;1;290000;1;1;1;0;0;1;0;1;0;0;0;0
77075943;0;670000;3;1;1;0;1;0;0;0;1;0;0;1
77118243;0;290000;1;1;0;0;1;0;0;0;1;1;0;1
77160525;1;290000;1;1;0;0;0;0;1;1;1;1;0;0
77292618;1;290000;1;1;1;0;1;0;0;0;1;0;0;1
77556534;0;220000;1;1;1;1;0;0;1;0;1;0;0;0
77618130;0;350000;2;1;0;0;1;0;1;0;1;1;0;0
77740939;1;330000;2;1;1;1;0;1;0;0;0;0;0;0
77752554;0;3500000;4;1;1;0;1;0;1;0;0;0;0;0
78123348;1;1090000;3;1;0;0;0;0;1;1;0;1;0;0
78133319;0;290000;1;1;1;0;0;0;1;1;1;0;0;0
78173779;0;1840000;1;0;1;0;0;1;0;1;0;0;0;0
78423600;0;290000;1;1;0;0;1;0;1;0;0;1;0;0
78481201;0;350000;2;1;0;0;1;0;1;0;1;1;0;0
78694450;0;290000;1;1;0;0;0;0;1;1;1;0;1;0
79085237;0;280000;1;1;0;0;1;0;1;0;1;1;0;0
79150500;1;1490000;4;1;0;0;1;0;0;0;1;0;1;1
79711952;0;290000;1;1;1;0;0;0;1;1;1;0;0;0
80470521;1;845000;5;1;0;0;0;0;1;1;1;1;0;0
81089694;1;290000;1;1;0;0;1;0;0;0;0;1;0;1
81138865;0;350000;2;1;0;0;0;0;1;1;1;1;0;0
81140460;1;676000;4;1;0;0;1;1;0;0;1;1;0;0
81152809;0;3500000;4;1;0;0;1;1;0;0;1;1;0;0
81463243;0;290000;1;1;0;0;0;1;0;1;0;1;0;0
81554664;0;290000;1;1;0;1;0;0;1;0;1;1;0;0
81579160;0;2140000;3;0;0;1;0;1;0;0;1;0;1;0
8158475E;0;470000;3;1;1;0;1;0;1;0;0;0;0;0
82019258;1;350000;2;1;0;1;0;0;0;0;1;0;1;1
82148252;1;3500000;4;0;1;0;1;1;0;0;1;0;0;0
82172625;0;350000;2;1;0;0;1;0;1;0;1;1;0;0
82282781;0;233900;2;1;1;0;1;0;1;0;0;0;0;0
82290938;0;290000;1;1;0;1;0;0;1;0;1;0;1;0
82291705;0;250000;2;1;0;1;0;0;1;0;1;1;0;0
82324921;0;290000;1;1;0;1;0;0;0;0;0;1;0;1
8233398E;1;3169000;4;1;0;1;0;1;0;0;1;1;0;0
82407037;0;410000;2;1;0;0;1;0;1;0;1;0;1;0
82499632;0;290000;1;1;1;1;0;0;1;0;0;0;0;0
8307712E;0;620000;4;1;0;1;0;0;1;0;1;0;1;0
83087001;0;290000;1;1;1;1;0;1;0;0;0;0;0;0
83133267;0;290000;1;1;0;0;1;0;1;0;1;1;0;0
83235396;0;280000;1;1;0;1;0;0;1;0;0;1;0;0
83264809;0;290000;1;1;0;0;1;1;0;0;1;1;0;0
83268685;0;290000;1;1;0;1;0;0;0;0;0;0;1;1
83276947;0;480000;3;1;0;0;1;0;1;0;0;0;1;0
83309047;0;250000;1;1;1;0;1;0;0;0;1;0;0;1
83319247;0;1213000;4;1;1;0;1;1;0;0;1;0;0;0
83400974;1;340000;4;0;0;1;0;0;1;0;0;1;0;0
83416048;0;340000;2;1;0;0;1;0;1;0;1;1;0;0
83698531;1;290000;1;1;1;1;0;0;0;0;0;0;0;1
84001267;0;290000;1;1;0;1;0;1;0;0;1;0;1;0
84529369;0;340000;2;1;0;0;1;0;1;0;1;1;0;0
84657782;0;410000;2;1;1;0;1;0;1;0;0;0;0;0
84690291;1;290000;1;1;0;1;0;0;1;0;1;0;1;0
84694432;1;290000;1;1;0;1;0;0;1;0;1;0;1;0
85326372;0;790000;1;1;0;0;1;0;0;0;0;1;0;1
85361534;1;330000;2;1;0;0;1;0;0;0;1;0;1;1
85386049;0;290000;1;1;0;0;1;0;0;0;0;1;0;1
85390259;1;1090000;3;1;1;0;1;1;0;0;1;0;0;0
85422843;0;790000;1;1;0;1;0;0;1;0;1;1;0;0
85434531;0;310000;3;1;0;0;1;0;0;0;1;1;0;1
85458791;1;410000;2;1;0;0;0;0;0;1;0;0;1;1
8549173E;0;290000;1;1;0;0;1;0;1;0;1;1;0;0
85558478;0;290000;2;1;0;1;0;0;0;0;1;1;0;1
85594830;1;290000;1;1;1;1;0;1;0;0;1;0;0;0
85654736;0;290000;1;1;1;0;1;0;0;0;1;0;0;1
85656712;0;160000;2;1;1;0;0;1;0;1;1;0;0;0
86021915;0;290000;1;1;0;1;0;1;0;0;0;1;0;0
86112414;0;290000;1;1;0;1;0;1;0;0;1;0;1;0
86139967;0;350000;2;1;0;0;1;0;0;0;1;1;0;1
86231146;1;290000;1;1;0;1;0;0;0;0;1;0;1;1
86289632;0;290000;1;1;0;1;0;0;1;0;1;1;0;0
86290290;0;520000;2;1;0;0;1;0;1;0;0;1;0;0
86300377;0;450000;3;1;0;1;0;0;1;0;1;0;1;0
86323059;0;280000;1;1;0;1;0;0;0;0;1;1;0;1
86474243;0;290000;1;1;0;1;0;0;1;0;0;1;0;0
8653159E;0;290000;1;1;0;1;0;1;0;0;1;0;1;0
86643649;0;330000;2;1;0;1;0;1;0;0;1;0;1;0
87092328;0;290000;1;1;0;1;0;0;1;0;1;0;1;0
87207095;0;150000;1;1;0;0;1;0;1;0;1;1;0;0
87324741;0;1090000;3;1;0;1;0;0;1;0;1;0;1;0
87536161;0;2272500;1;0;0;0;1;0;1;0;1;1;0;0
8764097E;0;290000;1;1;1;1;0;1;0;0;1;0;0;0
87744686;1;290000;1;1;0;0;1;0;0;0;1;0;1;1
8775505E;0;415000;3;1;0;0;1;0;1;0;1;1;0;0
87796368;0;290000;3;1;0;0;0;0;1;1;0;1;0;0
88113841;1;290000;1;1;0;0;1;0;1;0;0;1;0;0
88258955;0;290000;1;1;0;1;0;0;0;0;1;1;0;1
88271242;0;290000;1;1;0;0;1;1;0;0;1;0;1;0
88385671;0;280000;3;1;1;0;0;0;0;1;0;0;0;1
8850364E;0;340000;2;1;0;0;0;1;0;1;0;1;0;0
8866158E;1;350000;2;1;0;1;0;0;1;0;1;1;0;0
88673820;0;280000;1;1;1;0;1;0;1;0;1;0;0;0
88791475;0;2890000;2;1;0;1;0;0;0;0;1;0;1;1
88796949;1;3700000;3;1;0;0;0;0;0;1;1;0;1;1
8879699E;0;220000;1;0;0;0;0;0;0;1;0;0;1;1
88797112;1;3700000;5;1;0;0;1;0;0;0;0;0;1;1
88798100;0;4200000;5;1;0;0;1;0;0;0;1;0;1;1
89034708;0;1476711;2;0;0;0;1;0;1;0;0;0;1;0
8928707E;0;110000;1;1;0;0;1;0;1;0;0;1;0;0
89287479;0;745000;1;0;0;0;1;0;1;0;0;1;0;0
89677048;1;150000;1;1;0;0;1;0;1;0;0;0;1;0
89682629;0;290000;1;1;1;0;1;1;0;0;1;0;0;0
89784707;0;290000;1;1;0;0;1;0;1;0;1;0;1;0
90037995;0;665000;5;1;0;1;0;0;1;0;1;0;1;0
90246381;0;290000;1;1;1;1;0;1;0;0;1;0;0;0
90429192;0;350000;2;1;1;1;0;0;1;0;1;0;0;0
90458311;0;290000;1;1;0;0;1;0;0;0;1;0;1;1
9054630E;0;290000;1;1;1;0;1;0;0;0;1;0;0;1
90547993;0;290000;1;1;0;0;1;0;1;0;1;1;0;0
90610423;1;2890000;2;1;0;1;0;0;1;0;1;1;0;0
90704401;0;2890000;5;0;1;0;1;1;0;0;0;0;0;0
90704533;1;660000;3;1;0;1;0;0;1;0;1;0;1;0
90756126;1;1176000;1;0;0;0;1;0;1;0;1;0;1;0
90756436;0;2890000;2;1;0;0;1;0;1;0;1;0;1;0
9076899E;0;2256000;3;0;0;0;1;0;0;0;0;0;1;1
90789016;0;1206000;2;1;0;0;1;1;0;0;1;1;0;0
9078927E;0;1590000;2;0;0;0;1;1;0;0;1;1;0;0
90789601;0;1665000;2;0;0;0;1;1;0;0;1;1;0;0
90790693;0;1771000;3;0;0;0;1;1;0;0;0;1;0;0
90851382;0;1359000;2;1;0;0;1;0;1;0;0;1;0;0
91052610;1;1816000;1;1;0;0;1;0;0;0;0;0;1;1
91065763;0;636000;2;0;1;0;1;0;1;0;1;0;0;0
91160057;0;2890000;3;1;0;0;1;0;1;0;1;1;0;0
9121226E;0;2890000;3;1;0;0;1;0;1;0;1;1;0;0
91235014;1;2890000;2;1;1;0;0;0;1;1;0;0;0;0
91246350;1;2890000;2;1;1;0;1;1;0;0;1;0;0;0
91247403;0;1354000;2;1;1;1;0;1;0;0;1;0;0;0
91248000;0;1816000;2;0;1;0;1;1;0;0;1;0;0;0
91272513;0;2689000;3;1;0;0;0;0;1;1;1;1;0;0
91277035;0;2890000;3;0;0;0;1;0;0;0;1;0;1;1
91278244;0;510000;2;0;0;0;1;0;0;0;1;0;1;1
91391601;0;767000;1;0;0;0;1;1;0;0;1;0;1;0
91420695;0;767000;3;0;0;0;1;1;0;0;0;0;1;0
91420776;0;2890000;2;1;0;0;0;1;0;1;0;0;1;0
91421594;0;2890000;3;1;0;0;1;1;0;0;1;0;1;0
91422906;0;1176000;1;0;0;0;1;1;0;0;1;0;1;0
91423171;0;1516000;4;1;0;0;1;1;0;0;1;0;1;0
91424046;0;170000;1;1;0;0;1;1;0;0;1;0;1;0
91464854;1;2347000;3;0;0;0;0;0;1;1;0;0;1;0
91477778;0;3070000;3;1;0;0;1;1;0;0;1;0;1;0
91478197;0;550000;2;0;0;0;1;0;0;0;0;0;1;1
91488265;0;1839000;1;0;1;1;0;1;0;0;1;0;0;0
91527384;0;720000;1;0;0;0;1;0;0;0;1;1;0;1
91535557;0;2890000;2;1;0;1;0;0;1;0;1;0;1;0
91535840;0;2256000;3;0;0;1;0;0;1;0;1;0;1;0
91536200;0;1176000;1;0;0;0;0;0;1;1;0;0;1;0
9153819E;0;2890000;3;0;0;0;1;0;1;0;1;0;1;0
91539129;0;2890000;3;1;0;0;1;0;1;0;1;0;1;0
91539153;0;2890000;3;1;0;0;1;0;1;0;1;0;1;0
91540453;0;1326000;2;0;0;0;1;0;1;0;0;0;1;0
91540798;0;2890000;2;1;0;0;1;0;1;0;1;0;1;0
91546621;1;2890000;2;0;0;0;1;0;1;0;1;0;1;0
91547725;0;2890000;3;0;0;0;1;0;1;0;1;0;1;0
91549566;1;740000;3;0;0;1;0;0;1;0;1;0;1;0
91551307;0;2890000;2;1;0;0;1;0;1;0;1;0;1;0
91552478;0;2890000;2;0;0;0;1;0;1;0;0;0;1;0
91552923;0;2890000;2;1;0;0;1;0;1;0;1;0;1;0
9155490E;0;250000;1;1;0;0;1;0;1;0;1;0;1;0
91558123;0;1140000;1;0;0;0;1;0;1;0;1;0;1;0
91559480;0;3070000;3;1;0;0;1;0;1;0;1;0;1;0
9155960E;0;560000;1;1;0;1;0;0;1;0;0;0;1;0
91561647;0;2600000;2;0;0;0;1;1;0;0;1;0;1;0
91582725;1;3500000;5;1;0;0;1;0;1;0;0;1;0;0
91592666;0;2890000;2;0;0;1;0;0;1;0;1;1;0;0
91593336;0;2890000;2;1;0;0;1;0;1;0;1;1;0;0
91593530;0;1354000;3;1;0;0;1;0;1;0;1;1;0;0
91593557;0;2890000;2;1;0;0;1;0;1;0;1;1;0;0
92001319;0;2890000;2;1;0;0;0;0;0;1;0;0;1;1
92002285;1;740000;1;1;0;0;0;0;0;1;0;0;1;1
92007961;0;1354000;2;0;0;0;1;0;1;0;0;1;0;0
92008593;0;1354000;3;1;0;0;1;0;1;0;0;1;0;0
9200914E;0;1569800;5;0;0;0;1;0;1;0;1;1;0;0
92010091;0;2989000;3;1;0;1;0;0;1;0;1;1;0;0
92022375;0;2600000;2;0;0;0;1;0;1;0;1;0;1;0
9202422E;0;2890000;2;0;0;0;0;0;1;1;0;0;1;0
92025668;0;2890000;2;0;0;0;1;0;1;0;1;0;1;0
92025757;1;2890000;2;1;0;0;1;0;1;0;1;0;1;0
92026729;0;2890000;3;1;0;0;1;0;1;0;1;0;1;0
9202825E;1;369000;2;0;0;0;1;0;1;0;1;0;1;0
92033172;0;1870000;1;0;0;0;0;0;0;1;1;0;1;1
92034217;1;239000;3;1;0;0;1;0;0;0;1;0;1;1
92041736;0;250000;1;1;0;0;1;1;0;0;0;1;0;0
92042430;0;500000;1;1;0;0;1;1;0;0;0;1;0;0
9204249E;1;2890000;3;1;0;1;0;1;0;0;0;1;0;0
92043097;0;842000;2;0;0;0;0;1;0;1;0;1;0;0
92044980;0;2890000;3;0;0;1;0;1;0;0;0;1;0;0
92046266;0;2890000;3;1;0;0;0;1;0;1;0;1;0;0
92049176;0;2890000;3;0;0;1;0;0;1;0;1;0;1;0
92050476;0;370000;2;1;1;0;1;0;0;0;1;0;0;1
92072321;0;2890000;2;1;0;0;0;1;0;1;0;1;0;0
92072682;0;4729000;3;0;0;0;1;0;0;0;0;1;0;1
92072712;0;2890000;2;1;0;0;1;1;0;0;0;1;0;0
92073182;1;2890000;2;1;0;0;1;1;0;0;0;1;0;0
92073220;1;2890000;3;1;0;0;1;1;0;0;1;1;0;0
92074219;0;1326000;2;0;0;0;0;1;0;1;1;1;0;0
92074316;1;745000;1;1;0;0;1;1;0;0;1;1;0;0
92075584;0;275000;2;1;0;0;1;1;0;0;0;1;0;0
92079008;1;539000;1;1;0;0;1;1;0;0;1;0;1;0
92079393;0;655000;1;0;0;0;1;1;0;0;1;0;1;0
92083838;0;2890000;3;0;0;0;1;0;1;0;1;0;1;0
92093930;0;1176000;1;0;0;0;1;0;0;0;1;0;1;1
92096190;0;2890000;2;1;0;0;1;0;1;0;0;0;1;0
92096239;0;2890000;2;0;0;0;1;0;0;0;1;0;1;1
92096700;0;2890000;2;0;0;0;1;0;1;0;1;0;1;0
92103952;1;2890000;3;1;1;0;1;0;0;0;1;0;0;1
92105289;1;2989000;4;0;1;0;0;0;0;1;0;0;0;1
92105742;0;655000;1;0;1;1;0;0;1;0;1;0;0;0
92108059;0;1176000;1;0;0;0;1;1;0;0;0;0;1;0
92109276;1;2890000;2;1;0;0;1;1;0;0;0;0;1;0
92109365;0;2890000;2;1;0;1;0;1;0;0;1;0;1;0
92110932;1;2890000;2;1;0;1;0;0;0;0;0;0;1;1
92111297;0;2890000;2;0;0;0;1;1;0;0;1;0;1;0
92113249;1;2890000;3;1;0;0;1;1;0;0;1;0;1;0
92115063;0;2804000;4;1;0;0;1;1;0;0;1;0;1;0
9211508E;1;2890000;3;0;0;0;1;1;0;0;1;0;1;0
92115268;0;2890000;3;0;0;0;1;1;0;0;1;0;1;0
92115330;0;2804000;4;0;0;0;1;1;0;0;0;0;1;0
92120946;0;2890000;2;0;0;0;1;1;0;0;0;1;0;0
92122841;0;767000;1;1;0;0;1;0;0;0;0;1;0;1
92123775;0;1656000;2;0;0;0;1;1;0;0;1;1;0;0
92124011;1;2890000;3;1;0;0;1;1;0;0;1;1;0;0
92125476;0;1171000;2;1;1;0;0;0;0;1;1;0;0;1
92131271;1;2890000;2;1;1;0;1;0;1;0;1;0;0;0
92135757;0;2890000;4;1;1;0;1;0;1;0;1;0;0;0
92137598;0;2890000;2;0;1;0;1;0;1;0;1;0;0;0
92139132;0;2890000;5;1;0;0;1;0;1;0;1;1;0;0
92142753;0;1176000;1;0;0;0;0;0;1;1;0;1;0;0
92148832;1;2890000;3;1;0;0;1;0;1;0;1;0;1;0
92149073;0;539000;1;0;0;1;0;0;1;0;0;0;1;0
92149227;0;2890000;2;0;0;0;0;0;1;1;0;0;1;0
92151221;0;2890000;3;1;0;1;0;0;1;0;1;1;0;0
92151329;0;2890000;3;1;0;0;1;0;1;0;1;1;0;0
92152139;0;2890000;3;0;0;0;1;0;1;0;1;1;0;0
92165516;0;2989000;4;0;0;0;0;0;1;1;1;1;0;0
92168574;0;2890000;2;0;0;1;0;0;1;0;1;0;1;0
92178146;0;1176000;1;0;0;0;0;0;1;1;1;0;1;0
92178472;1;2890000;2;1;0;0;0;0;1;1;1;0;1;0
92185649;0;426000;2;0;1;1;0;0;1;0;1;0;0;0
92189954;0;2890000;3;0;1;0;1;0;1;0;1;0;0;0
92192130;0;2890000;4;0;1;0;1;0;0;0;1;0;0;1
92195326;0;2890000;3;0;0;0;1;1;0;0;1;0;1;0
9219916E;0;440000;1;0;1;0;1;0;1;0;0;0;0;0
92201776;0;539000;1;0;0;0;0;0;1;1;0;1;0;0
92203523;0;1590000;2;1;1;0;1;0;1;0;1;0;0;0
92204082;0;2890000;2;1;0;0;1;0;1;0;1;0;1;0
92205240;0;788000;1;1;1;0;1;0;1;0;0;0;0;0
92205461;1;575000;3;0;0;0;0;0;1;1;0;1;0;0
92205585;0;2890000;2;1;0;0;1;0;0;0;0;1;0;1
92206409;1;1580000;3;1;0;0;0;0;1;1;1;1;0;0
92207723;0;3024000;3;0;1;0;0;1;0;1;1;0;0;0
92210414;0;2890000;2;1;0;0;0;0;0;1;0;1;0;1
92215718;0;1730000;1;0;1;0;0;0;1;1;0;0;0;0
92216943;0;2890000;2;0;1;0;1;0;1;0;1;0;0;0
92221157;0;1176000;1;0;0;0;1;0;1;0;0;0;1;0
92224989;0;610000;1;0;0;0;1;0;1;0;1;1;0;0
92227627;0;2890000;2;1;0;0;0;0;1;1;1;1;0;0
92229174;0;2890000;2;1;0;0;1;0;1;0;0;0;1;0
92230091;0;2890000;2;0;0;0;1;0;1;0;1;0;1;0
92232590;1;2890000;2;0;0;0;1;0;0;0;1;0;1;1
92233821;0;2890000;3;0;0;0;0;0;0;1;1;0;1;1
92233902;0;2890000;3;0;0;0;1;0;0;0;1;0;1;1
92235743;1;170000;1;1;1;0;1;0;1;0;1;0;0;0
92237762;0;2767000;2;0;0;0;1;1;0;0;1;0;1;0
92244394;0;165000;1;1;0;1;0;0;1;0;1;0;1;0
92248144;1;2890000;2;1;1;0;0;0;0;1;1;0;0;1
92249310;0;2890000;3;0;1;0;1;0;1;0;1;0;0;0
92254292;0;2890000;3;0;0;0;1;0;1;0;1;1;0;0
92256015;0;2890000;3;0;0;0;1;0;1;0;1;1;0;0
92257747;0;1249000;1;1;0;1;0;0;1;0;1;1;0;0
92274080;0;519000;4;1;0;0;1;0;1;0;1;0;1;0
92274269;0;532000;1;0;0;0;0;0;1;1;1;0;1;0
92275893;0;720000;1;0;0;0;0;0;1;1;1;0;1;0
92277527;0;586000;1;0;0;0;1;0;1;0;1;0;1;0
92282865;0;1075000;2;1;1;0;0;0;1;1;1;0;0;0
92285449;0;295000;2;1;1;0;1;0;1;0;0;0;0;0
92294146;0;2890000;2;1;1;0;1;0;1;0;0;0;0;0
92294332;0;756000;2;1;1;0;1;0;1;0;0;0;0;0
92295037;0;2890000;3;1;1;0;1;0;1;0;1;0;0;0
92295819;1;2890000;3;1;1;0;1;0;1;0;0;0;0;0
